epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,264.817,0.42322,0.51107,0.36755,0.94687,0.94013,0.78261,0.82032,0.72746,0.94013,0.78261,0.81978,0.75258,0.60286,1.50884,0.89032,0.79604,0.0010694,0.0010694,0.0010694
49,270.455,0.41124,0.44063,0.36459,0.946,0.9409,0.78261,0.82831,0.71023,0.9409,0.78261,0.82831,0.744,0.67341,1.43415,0.79955,0.87007,0.0010496,0.0010496,0.0010496
50,276.342,0.406,0.50313,0.35572,0.95773,0.7952,0.82609,0.87147,0.74737,0.7952,0.82609,0.87147,0.77269,0.63169,1.35651,0.79449,0.80466,0.0010298,0.0010298,0.0010298
51,282.038,0.40128,0.46156,0.35415,0.9427,0.85934,0.82609,0.8531,0.74938,0.85934,0.82609,0.8531,0.76833,0.61879,1.59128,0.77302,0.77667,0.00101,0.00101,0.00101
52,287.797,0.40298,0.46708,0.34305,0.94701,0.90068,0.82609,0.77813,0.69455,0.90068,0.82609,0.77813,0.73512,0.66419,1.56394,0.96858,0.8127,0.0009902,0.0009902,0.0009902
53,293.488,0.42058,0.49259,0.37535,0.9632,0.90014,0.86957,0.8635,0.73974,0.90014,0.86957,0.8635,0.78062,0.61944,2.05477,0.76037,0.81012,0.0009704,0.0009704,0.0009704
54,299.365,0.39497,0.47939,0.35295,0.94102,0.90737,0.85227,0.91258,0.78414,0.90737,0.85227,0.89566,0.81053,0.61694,1.65566,0.66525,0.80703,0.0009506,0.0009506,0.0009506
55,305.314,0.38274,0.44329,0.32642,0.95218,0.94385,0.86957,0.87319,0.7503,0.94385,0.86957,0.86374,0.77648,0.6102,1.40507,0.67401,0.83078,0.0009308,0.0009308,0.0009308
56,311.403,0.39013,0.45851,0.33595,0.93336,0.94574,0.86957,0.85539,0.7763,0.94574,0.86957,0.85539,0.79715,0.53797,1.36676,0.68765,0.73694,0.000911,0.000911,0.000911
57,317.313,0.38822,0.42893,0.32198,0.95393,0.90477,0.86957,0.83268,0.7534,0.90477,0.86957,0.8304,0.77736,0.5876,1.60967,0.89313,0.75312,0.0008912,0.0008912,0.0008912
58,322.627,0.38047,0.4223,0.31349,0.9447,0.94231,0.82609,0.82665,0.74928,0.94231,0.82609,0.82665,0.76491,0.57494,1.48256,0.76683,0.7849,0.0008714,0.0008714,0.0008714
59,327.883,0.38734,0.45294,0.33031,0.93663,0.94395,0.86957,0.84881,0.74833,0.94395,0.86957,0.84881,0.77759,0.53175,1.35906,0.6316,0.73501,0.0008516,0.0008516,0.0008516
60,334.236,0.36106,0.40423,0.315,0.92122,0.90667,0.86957,0.88654,0.76995,0.90667,0.86957,0.88467,0.79141,0.56629,1.51562,0.71492,0.77546,0.0008318,0.0008318,0.0008318
